Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
2021-08-18,5,6,6,5,6,7,8,10,12,13,11,10,8,11,11,7,6,5,4,3,3,2,2,3
2021-08-19,3,3,6,8,9,8,6,6,5,6,7,8,9,9,8,9,8,10,11,11,10,6,5,5
2021-08-20,6,7,6,7,8,8,8,8,7,8,9,8,8,10,12,12,13,12,11,10,11,14,13,11
2021-08-21,10,11,10,9,9,10,10,9,10,12,21,20,16,14,14,16,13,10,8,7,7,7,9,11
2021-08-22,11,9,9,10,10,11,11,11,12,11,10,11,11,11,14,12,11,9,8,12,14,11,10,9
2021-08-23,7,7,8,9,9,10,11,11,12,12,12,10,11,9,8,7,5,4,2,2,2,4,5,7
2021-08-24,9,9,8,8,9,9,9,9,8,9,13,11,9,10,9,7,7,6,6,7,10,11,12,12
2021-08-25,13,13,13,13,12,13,13,14,13,13,10,7,9,11,10,8,7,7,8,8,6,5,5,5
2021-08-26,6,6,7,8,9,10,15,12,11,12,10,11,9,8,8,11,11,13,11,10,10,10,9,10
2021-08-27,12,11,10,10,8,8,8,5,3,3,3,3,3,3,3,3,3,2,2,2,4,6,5,1
2021-08-28,1,1,1,1,1,1,1,1,2,2,2,3,4,4,4,5,5,7,8,8,8,7,9,10
2021-08-29,12,14,13,11,12,12,12,13,12,11,12,12,12,12,11,13,14,14,13,9,6,5,5,4
2021-08-30,3,3,3,3,3,4,5,6,6,8,10,6,3,4,4,2,2,2,2,2,2,2,2,3
2021-08-31,4,4,4,5,4,4,5,6,5,4,4,3,2,2,3,3,2,1,1,1,1,1,1,1
